               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11468,            0.048358,              0.0498,           0.0027198,            0.060185,           0.0011644,          0.00039577,             0.11208,            0.038869,            0.047014,               8e-05,               8e-05,             0.09928
                   1,             0.10897,            0.040352,            0.047038,            0.011946,            0.041667,           0.0042627,          0.00083843,             0.10863,            0.039128,            0.045641,          0.00016996,          0.00016996,             0.09847
                   2,             0.10949,            0.049281,            0.046742,            0.020288,            0.041667,           0.0073353,           0.0013002,             0.10278,            0.040002,            0.044231,          0.00025977,          0.00025977,             0.09766
                   3,             0.10094,            0.043102,            0.044279,            0.061083,            0.060185,            0.012477,           0.0027263,            0.096131,            0.041711,            0.042857,           0.0003493,           0.0003493,            0.096849
                   4,             0.10119,            0.052581,            0.043965,            0.074435,            0.060185,            0.016864,           0.0037807,            0.089131,            0.043308,              0.0411,          0.00043844,          0.00043844,            0.096038
                   5,              0.0976,            0.049033,            0.044157,            0.028996,             0.34259,            0.022533,           0.0046813,            0.084402,            0.044626,            0.039151,          0.00052706,          0.00052706,            0.095227
                   6,            0.095071,            0.053546,            0.041138,            0.036483,             0.21759,            0.027532,            0.007533,            0.080824,            0.045363,            0.037578,          0.00061506,          0.00061506,            0.094415
                   7,            0.091262,            0.047128,            0.037858,            0.049963,            0.055899,            0.027689,           0.0074252,            0.078243,            0.046391,             0.03635,          0.00070231,          0.00070231,            0.093602
                   8,             0.09059,            0.049811,            0.036554,            0.053438,             0.12037,             0.04272,           0.0097001,             0.07523,             0.04738,            0.034407,          0.00078869,          0.00078869,            0.092789
                   9,            0.085086,            0.049356,             0.03616,             0.41542,             0.10185,            0.045188,            0.013799,             0.07311,            0.047903,            0.033043,           0.0008741,           0.0008741,            0.091974
                  10,            0.085514,            0.064219,            0.032834,             0.07825,              0.2963,             0.06231,            0.016894,            0.071572,            0.047724,            0.031724,          0.00095842,          0.00095842,            0.091158
                  11,            0.078428,            0.043674,            0.030768,            0.077495,             0.22804,            0.074539,            0.024269,             0.07045,            0.047718,            0.030524,           0.0010415,           0.0010415,            0.090342
                  12,            0.078343,            0.055587,            0.031057,            0.092854,             0.41204,             0.12766,            0.031549,            0.069297,             0.04715,            0.028589,           0.0011233,           0.0011233,            0.089523
                  13,             0.07041,            0.049658,            0.027654,              0.4629,                0.25,             0.15658,            0.058525,            0.068861,            0.046968,            0.027041,           0.0012037,           0.0012037,            0.088704
                  14,            0.073161,            0.053959,            0.028801,             0.40345,             0.51852,             0.34085,            0.095863,            0.066944,            0.046961,            0.025723,           0.0012826,           0.0012826,            0.087883
                  15,            0.070973,            0.049227,            0.025524,             0.22953,             0.52405,              0.2702,            0.085613,            0.065716,            0.046955,            0.024628,           0.0013599,           0.0013599,             0.08706
                  16,            0.071585,            0.068332,            0.025707,             0.62441,             0.18759,             0.18006,            0.075087,            0.064969,            0.046259,            0.023619,           0.0014354,           0.0014354,            0.086235
                  17,            0.069396,            0.055164,            0.024995,             0.77472,             0.21296,             0.22814,             0.09963,            0.063164,            0.046335,            0.022458,           0.0015091,           0.0015091,            0.085409
                  18,            0.066416,            0.060119,            0.025575,             0.37022,             0.54167,             0.39228,             0.12197,            0.060692,            0.045407,             0.02186,           0.0015809,           0.0015809,            0.084581
                  19,            0.066861,            0.046852,            0.023308,             0.17122,             0.59059,              0.3083,             0.11963,            0.059503,             0.04535,            0.021279,           0.0016507,           0.0016507,            0.083751
                  20,            0.059268,            0.043838,            0.022367,             0.66483,             0.27315,             0.29131,             0.14184,            0.058727,            0.044537,            0.020232,           0.0017184,           0.0017184,            0.082918
                  21,             0.06119,            0.043915,             0.02208,             0.61102,             0.27315,               0.289,             0.11697,            0.057256,            0.043682,            0.019711,            0.001784,            0.001784,            0.082084
                  22,            0.061447,            0.051638,            0.022507,             0.63792,             0.25463,             0.30486,             0.12326,            0.056287,            0.042459,            0.019432,           0.0018473,           0.0018473,            0.081247
                  23,            0.057966,            0.044004,            0.020605,             0.63177,             0.21759,             0.27868,             0.11093,            0.056824,            0.042359,            0.019444,           0.0019082,           0.0019082,            0.080408
                  24,            0.057381,            0.041983,            0.018942,             0.59534,             0.27315,             0.27143,             0.14407,            0.053204,            0.042606,            0.018719,           0.0019668,           0.0019668,            0.079567
                  25,            0.055369,            0.041544,            0.020731,              0.2135,             0.62037,               0.414,              0.1393,            0.055031,            0.041888,            0.017689,           0.0020229,           0.0020229,            0.078723
                  26,            0.053847,            0.042306,            0.020652,             0.38087,             0.55556,             0.45738,             0.21175,             0.05375,            0.041822,            0.016718,           0.0020765,           0.0020765,            0.077876
                  27,            0.056954,            0.040921,            0.016534,             0.34167,             0.61574,             0.40506,             0.18509,            0.054243,             0.04049,             0.01595,           0.0021275,           0.0021275,            0.077027
                  28,            0.051222,            0.039753,            0.018931,              0.3972,             0.67593,             0.47227,             0.24125,             0.05348,            0.041416,            0.015141,           0.0021758,           0.0021758,            0.076176
                  29,            0.051021,            0.040334,            0.016477,             0.40226,             0.65278,             0.44288,             0.22182,            0.056756,            0.039943,            0.014682,           0.0022214,           0.0022214,            0.075321
                  30,            0.053803,            0.040984,            0.020201,             0.40997,             0.63426,             0.45061,             0.26507,            0.053643,            0.038583,            0.014503,           0.0022643,           0.0022643,            0.074464
                  31,            0.063342,            0.037989,            0.018207,             0.43497,             0.55556,             0.44002,             0.17359,            0.062188,            0.037697,            0.014271,           0.0023044,           0.0023044,            0.073604
                  32,            0.059176,            0.035296,            0.015072,             0.46043,             0.59722,             0.49139,             0.26674,            0.053194,            0.037139,            0.014124,           0.0023417,           0.0023417,            0.072742
                  33,            0.060601,            0.041091,            0.017548,             0.45621,             0.57407,             0.46047,             0.23246,            0.056879,             0.03506,            0.013727,           0.0023762,           0.0023762,            0.071876
                  34,            0.056629,            0.037361,            0.015127,             0.45092,             0.57407,             0.47671,             0.25195,            0.057952,            0.035433,            0.013645,           0.0024077,           0.0024077,            0.071008
                  35,            0.061566,            0.036867,            0.013786,             0.46488,             0.55556,             0.44341,             0.21206,            0.059002,            0.035559,            0.013564,           0.0024364,           0.0024364,            0.070136
                  36,            0.063218,            0.040689,            0.012829,             0.45384,             0.59259,             0.42967,             0.17161,            0.064923,             0.03688,            0.012448,           0.0024621,           0.0024621,            0.069262
                  37,            0.066633,            0.033483,            0.015034,             0.47858,                 0.5,             0.45303,             0.18888,            0.057684,            0.035331,            0.012168,           0.0024849,           0.0024849,            0.068385
                  38,            0.056736,            0.044197,             0.01449,             0.54665,             0.61574,             0.55477,             0.27254,            0.053345,            0.034748,            0.011992,           0.0025048,           0.0025048,            0.067505
                  39,            0.054355,            0.041443,            0.015153,             0.53521,             0.59722,              0.5929,             0.28186,            0.054152,            0.034886,            0.011344,           0.0025217,           0.0025217,            0.066622
                  40,            0.056613,             0.03624,            0.011317,             0.61141,             0.59722,             0.63259,              0.2592,            0.053268,            0.035626,            0.011295,           0.0025357,           0.0025357,            0.065736
                  41,            0.058046,            0.040889,            0.010214,             0.58167,             0.63426,             0.56906,             0.27408,            0.053504,            0.036258,            0.010606,           0.0025468,           0.0025468,            0.064847
                  42,            0.055709,            0.036791,            0.011903,               0.708,             0.55556,             0.61515,             0.29097,            0.054305,            0.035717,            0.010082,            0.002555,            0.002555,            0.063955
                  43,            0.052125,            0.034858,            0.010848,             0.57347,             0.59722,             0.56007,             0.22319,            0.051511,            0.035389,            0.010007,           0.0025602,           0.0025602,             0.06306
                  44,            0.051201,            0.030973,             0.01317,             0.34432,             0.79977,             0.56412,             0.23687,            0.054638,            0.034423,             0.01007,           0.0025627,           0.0025627,            0.062163
                  45,            0.052692,            0.031687,           0.0088147,             0.33719,             0.74271,             0.43483,             0.17341,            0.054217,            0.033421,           0.0097808,           0.0025622,           0.0025622,            0.061262
                  46,            0.052849,            0.039211,             0.01032,             0.50503,             0.78241,             0.66656,             0.32915,            0.047378,            0.032978,           0.0089721,            0.002559,            0.002559,            0.060359
                  47,            0.046529,            0.033794,           0.0082102,             0.49723,             0.76389,             0.60179,             0.19992,            0.051494,            0.033803,           0.0083392,            0.002553,            0.002553,            0.059453
                  48,            0.054479,             0.03609,            0.012126,             0.61138,             0.76389,             0.66483,             0.25847,            0.046026,            0.033331,           0.0083519,           0.0025443,           0.0025443,            0.058544
                  49,            0.052357,            0.033468,            0.011992,             0.71326,             0.76049,              0.7105,             0.31111,            0.049848,            0.032659,           0.0081611,            0.002533,            0.002533,            0.057633
                  50,            0.052044,            0.031743,           0.0089284,             0.73172,             0.76389,             0.72338,             0.39214,            0.048361,            0.032678,           0.0078741,            0.002519,            0.002519,            0.056719
